event,year,level,category,author,title,url,video
2013-06-08,2013,Novice,Community,Chad Whitacre,Gittip: Inspiring Generosity,https://us.pycon.org/2013/schedule/presentation/116/,http://pyvideo.org/video/1672/gittip-inspiring-generosity
2013-06-20,2013,Intermediate,Distributed Computing,Rick Branson,Messaging at Scale at Instagram,https://us.pycon.org/2013/schedule/presentation/106/,http://pyvideo.org/video/1671/messaging-at-scale-at-instagram
2013-06-08,2013,Novice,Best Practices/Patterns,Esther Nam,How to Except When You're Excepting,https://us.pycon.org/2013/schedule/presentation/35/,http://pyvideo.org/video/1680/how-to-except-when-youre-excepting
2013-06-20,2013,Intermediate,Best Practices/Patterns,Lukasz Langa,Composability Through Multiple Inheritance,https://us.pycon.org/2013/schedule/presentation/110/,http://pyvideo.org/video/1678/composability-through-multiple-inheritance
2013-06-08,2013,Novice,Other,Jessica McKellar,How the Internet works,https://us.pycon.org/2013/schedule/presentation/50/,http://pyvideo.org/video/1677/how-the-internet-works
2013-06-20,2013,Intermediate,Best Practices/Patterns,Brandon Rhodes,The Naming of Ducks: Where Dynamic Types Meet Smart Conventions,https://us.pycon.org/2013/schedule/presentation/38/,http://pyvideo.org/video/1676/the-naming-of-ducks-where-dynamic-types-meet-sma
2013-06-08,2013,Novice,Community,Bradley M. Kuhn,Funding and Coordinating Python Projects via Non-Profits,https://us.pycon.org/2013/schedule/presentation/48/,http://pyvideo.org/video/1693/funding-and-coordinating-python-projects-via-non-
2013-06-20,2013,Intermediate,Business,Edgar Roman,This Old Video Site: How PBS streams video - and you can too!,https://us.pycon.org/2013/schedule/presentation/133/,http://pyvideo.org/video/1682/this-old-video-site-how-pbs-streams-video-and
2013-06-08,2013,Novice,Best Practices/Patterns,Bruce Eckel,Rethinking Errors: Learning from Scala and Go,https://us.pycon.org/2013/schedule/presentation/52/,http://pyvideo.org/video/1683/rethinking-errors-learning-from-scala-and-go
2013-06-08,2013,Novice,Best Practices/Patterns,"Augie Fackler, Nathaniel Manista",The End Of Object Inheritance & The Beginning Of A New Modularity,https://us.pycon.org/2013/schedule/presentation/68/,http://pyvideo.org/video/1684/the-end-of-object-inheritance-the-beginning-of
2013-06-20,2013,Intermediate,Best Practices/Patterns,Asheesh Laroia,Scrapy: it GETs the web,https://us.pycon.org/2013/schedule/presentation/135/,http://pyvideo.org/video/1685/scrapy-it-gets-the-web
2013-06-08,2013,Novice,Packaging,Steve Dower,Windows 8 Apps and Python (Making Money in the Windows App Store),https://us.pycon.org/2013/schedule/presentation/127/,
2013-06-20,2013,Intermediate,Other,Alex Gaynor,So you want to write an interpreter?,https://us.pycon.org/2013/schedule/presentation/44/,http://pyvideo.org/video/1694/so-you-want-to-write-an-interpreter
